[2013-06-21 12:53:08,678] INFO      ADD DB: 146200.B27 global: 0 records processed                    #msmmongo.py[LINE:27]
[2013-06-21 12:53:08,678] INFO      ADD DB: Processing 146200.B28 global                              #msmmongo.py[LINE:16]
[2013-06-21 12:53:08,706] INFO      ADD DB: 146200.B28 global: 11 records processed                   #msmmongo.py[LINE:27]
[2013-06-21 12:53:08,707] INFO      ADD DB: Processing 146200.B49 global                              #msmmongo.py[LINE:16]
[2013-06-21 12:53:08,949] INFO      ADD DB: 146200.B49 global: 10801 records processed                #msmmongo.py[LINE:27]
[2013-06-21 12:53:08,949] INFO      ADD DB: Processing 146200.B48 global                              #msmmongo.py[LINE:16]
[2013-06-21 12:53:08,993] INFO      ADD DB: 146200.B48 global: 2607 records processed                 #msmmongo.py[LINE:27]
[2013-06-21 12:53:08,994] INFO      ADD DB: Processing 146200.B9 global                               #msmmongo.py[LINE:16]
[2013-06-21 12:53:09,012] INFO      ADD DB: 146200.B9 global: 524 records processed                   #msmmongo.py[LINE:27]
[2013-06-21 12:53:09,012] INFO      ADD DB: Processing 146200.B4 global                               #msmmongo.py[LINE:16]
[2013-06-21 12:53:09,015] INFO      ADD DB: 146200.B4 global: 113 records processed                   #msmmongo.py[LINE:27]
[2013-06-21 12:53:09,015] INFO      ADD DB: Processing 146200.B52 global                              #msmmongo.py[LINE:16]
[2013-06-21 12:53:09,018] INFO      ADD DB: 146200.B52 global: 85 records processed                   #msmmongo.py[LINE:27]
[2013-06-21 12:53:09,019] INFO      ADD DB: Processing 146200.B1 global                               #msmmongo.py[LINE:16]
[2013-06-21 12:53:09,021] INFO      ADD DB: 146200.B1 global: 106 records processed                   #msmmongo.py[LINE:27]
[2013-06-21 12:53:09,021] INFO      ADD DB: Processing 146200.B53 global                              #msmmongo.py[LINE:16]
[2013-06-21 12:53:09,072] INFO      ADD DB: 146200.B53 global: 1499 records processed                 #msmmongo.py[LINE:27]
[2013-06-21 12:53:09,073] INFO      ADD DB: Processing 146200.B50 global                              #msmmongo.py[LINE:16]
[2013-06-21 12:53:09,358] INFO      ADD DB: 146200.B50 global: 10073 records processed                #msmmongo.py[LINE:27]
[2013-06-21 12:53:09,358] INFO      ADD DB: Creating indexes...                                       #msmmongo.py[LINE:32]
[2013-06-21 12:53:09,358] INFO      ADD DB: Creating index for 146200.B51 collection...               #msmmongo.py[LINE:35]
[2013-06-21 12:53:09,430] INFO      ADD DB: Creating index for 146200.B14 collection...               #msmmongo.py[LINE:35]
[2013-06-21 12:53:09,442] INFO      ADD DB: Creating index for 146200.B15 collection...               #msmmongo.py[LINE:35]
[2013-06-21 12:53:09,649] INFO      ADD DB: Creating index for 146200.B12 collection...               #msmmongo.py[LINE:35]
[2013-06-21 12:53:09,686] INFO      ADD DB: Creating index for 146200.B13 collection...               #msmmongo.py[LINE:35]
[2013-06-21 12:53:09,690] INFO      ADD DB: Creating index for 146200.B11 collection...               #msmmongo.py[LINE:35]
[2013-06-21 12:53:09,700] INFO      ADD DB: Creating index for 146200.B18 collection...               #msmmongo.py[LINE:35]
[2013-06-21 12:53:09,702] INFO      ADD DB: Creating index for 146200.B19 collection...               #msmmongo.py[LINE:35]
[2013-06-21 12:53:09,726] INFO      ADD DB: Creating index for 146200.B38 collection...               #msmmongo.py[LINE:35]
[2013-06-21 12:53:09,727] INFO      ADD DB: Creating index for 146200.B39 collection...               #msmmongo.py[LINE:35]
[2013-06-21 12:53:09,729] INFO      ADD DB: Creating index for 146200.B34 collection...               #msmmongo.py[LINE:35]
[2013-06-21 12:53:09,731] INFO      ADD DB: Creating index for 146200.B35 collection...               #msmmongo.py[LINE:35]
[2013-06-21 12:53:09,732] INFO      ADD DB: Creating index for 146200.B36 collection...               #msmmongo.py[LINE:35]
[2013-06-21 12:53:09,733] INFO      ADD DB: Creating index for 146200.B37 collection...               #msmmongo.py[LINE:35]
[2013-06-21 12:53:09,734] INFO      ADD DB: Creating index for 146200.B54 collection...               #msmmongo.py[LINE:35]
[2013-06-21 12:53:09,735] INFO      ADD DB: Creating index for 146200.B33 collection...               #msmmongo.py[LINE:35]
[2013-06-21 12:53:09,766] INFO      ADD DB: Creating index for 146200.B45 collection...               #msmmongo.py[LINE:35]
[2013-06-21 12:53:09,768] INFO      ADD DB: Creating index for 146200.B44 collection...               #msmmongo.py[LINE:35]
[2013-06-21 12:53:09,774] INFO      ADD DB: Creating index for 146200.B47 collection...               #msmmongo.py[LINE:35]
